report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002127,SILCHAR VAIRENGTE SAIRANG ROAD PKG-1,NHIDCL,2-2023,7/2026,N.A.,7/2026,1256.9,,1256.9,0.0,0.0,499.58,32.68,39.75,7.07,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.397,7.137,0,41.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002128,SILCHAR VAIRENGTE SAIRANG ROAD PKG-2,NHIDCL,3-2023,8/2026,N.A.,8/2026,1716.21,,1716.21,0.0,0.0,983.58,61.75,57.31,-4.44,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.573,7.448,0,41.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002130,TAMENGLONG- MAHUR ROAD PKG-7,NHIDCL,12-2023,3/2026,N.A.,3/2026,846.82,,846.82,0.0,0.0,377.55,60.42,44.58,-15.84,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.446,6.743,0,27.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000319,4 LANING OF JORHAT TO JHANJI SECTION FROM KM. 453.00 TO KM. 491.08 (DESIGN KM 403.200 TO KM 454.240),NHIDCL,6-2015,8/2023,N.A.,4/2025,437.39,,437.39,0.0,0.0,541.08,94.36,123.71,29.35,20.0,Medium,Scope & Design Changes,"Background 4 LANING OF JORHAT TO JHANJI SECTION FROM KM. 453.00 TO KM. 491.08 (DESIGN KM 403.200 TO KM 454.240), ASSAM This Project was approved on June 2015 with Capital Investment of Rs. 437.39 Crores with schedule completion date June 2018.Civil work is in progress 346 CONSTRUCTION OF 2-LANE ROAD",Other Infrastructure,Assam,1.0,1.237,6.083,1,98.0,Administrative & Inter-Agency Coordination,608,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000320,FOUR LANING OF JHANJHI JN TO DEMOW SECTION FROM KM. 491.050 TO KM. 535.250(DESIGN KM 490.800 TO KM 5,NHIDCL,6-2015,3/2024,N.A.,10/2025,463.49,,463.49,0.0,0.0,478.05,73.48,103.14,29.66,19.0,Medium,Scope & Design Changes,"Background FOUR LANING OF JHANJHI JN TO DEMOW SECTION FROM KM. 491.050 TO KM. 535.250(DESIGN KM 490.800 TO ` KM 5, ASSAM This Project was approved on June 2015 with Capital Investment of Rs. 463.49 Crores with schedule completion date June 2018.Civil work is in progress 345 4 LANING OF JORHAT TO JHA",Road Transport & Highways,Multi-State / Central,1.0,1.031,6.141,1,105.0,Land Acquisition & Right of Way,578,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000582,4 LANING OF NH-37 SECTION BETWEEN DEMOW TO END OF MORAN BYPASS (FROM KM. 534.800 TO KM. 561.700) O,NHIDCL,1-2016,1/2016,N.A.,4/2025,294.17,,294.17,0.0,0.0,380.19,96.25,129.24,32.99,111.0,High,Fund Constraint & Financing,"Background 4 LANING OF NH-37 SECTION BETWEEN DEMOW TO END OF MORAN BYPASS (FROM KM. 534.800 TO KM. 561.700) O, ASSAM This Project was approved on January 2016 with Capital Investment of Rs. 294.17 Crores. Civil work is in progress. 33 FUNDED ) 2 LANING FROM CHANGLAN",Road Transport & Highways,Multi-State / Central,1.0,1.292,5.688,1,1.0,Fund Constraint & Financial Stress,3374,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000583,4 LANING OF NH 37 SECTION BETWEEN END OF MORAN BYPASS TO BOGIBEEL JUNCTION NEAR LAPETKETA (KM. 561,NHIDCL,1-2016,12/2021,N.A.,4/2025,252.0,,330.3,78.3,31.07,215.64,85.81,85.57,-0.24,40.0,High,General Execution Delay,"Background 4 LANING OF NH 37 SECTION BETWEEN END OF MORAN BYPASS TO BOGIBEEL JUNCTION NEAR LAPETKETA (KM. 561, ASSAM This Project was approved on January 2016 with Capital Investment of Rs. 252.00 Crores. CIVIL WORK IS IN PROGRESS. 115 2-LANING WITH PAVED SHOULDER OF",Road Transport & Highways,Multi-State / Central,1.311,0.856,5.533,0,71.0,Land Acquisition & Right of Way,1216,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002021,BILASIPURA-GUWAHATI ROAD PKG-8,NHIDCL,3-2023,12/2026,N.A.,12/2026,1457.59,,1457.59,0.0,0.0,517.67,41.82,35.52,-6.3,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.355,7.285,0,45.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002022,BILASIPURA-GUWAHATI ROAD PKG-9,NHIDCL,3-2023,6/2026,N.A.,6/2026,1000.27,,1000.27,0.0,0.0,303.94,22.75,30.39,7.64,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.304,6.909,0,39.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002023,BILASIPURA-GUWAHATI ROAD PKG-10,NHIDCL,3-2023,6/2026,N.A.,6/2026,1264.9,,1264.9,0.0,0.0,395.28,22.3,31.25,8.95,0.0,Low,On Schedule,,Road Transport & Highways,Assam,1.0,0.312,7.144,0,39.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002024,DABOKA BYPASS OF DABOKA - PAROKHAOWA PKG -1,NHIDCL,1-2023,11/2025,N.A.,11/2025,516.88,,516.88,0.0,0.0,234.6,69.48,45.39,-24.09,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.454,6.25,0,34.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002030,DEVELOPMENT OF EXTERNAL TRUNK CONNECTIVITY AND INTERNAL INFRASTRUCTURE WORKS AT MULTI MODEL LOGISTIC,NHIDCL,2-2020,3/2022,N.A.,9/2024,592.06,,592.06,0.0,0.0,308.87,100.0,52.17,-47.83,30.0,High,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.522,6.385,0,25.0,Administrative & Inter-Agency Coordination,912,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001831,SRIRAMPUR - DHUBRI PKG-1,NHIDCL,3-2022,2/2025,N.A.,11/2026,613.89,,613.89,0.0,0.0,110.74,35.13,18.04,-17.09,21.0,Medium,On Schedule / Undocumented,,Other Infrastructure,Multi-State / Central,1.0,0.18,6.421,0,35.0,Contractor / Vendor Non-Performance,638,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001832,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-3,NHIDCL,1-2023,5/2025,N.A.,5/2025,458.59,,458.59,0.0,0.0,196.33,59.99,42.81,-17.18,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.428,6.13,0,28.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001969,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) I,NHIDCL,3-2023,8/2025,N.A.,8/2025,904.04,,904.04,0.0,0.0,391.08,60.55,43.26,-17.29,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.433,6.808,0,29.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001970,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,3-2023,8/2025,N.A.,8/2025,860.37,,860.37,0.0,0.0,365.45,59.3,42.48,-16.82,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.425,6.759,0,29.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001971,WIDENING AND UPGRADATION TO TWO LANES WITH PAVED SHOULDERS ROAD FROM TAMENGLONG TO MAHUR (NH-137) IN,NHIDCL,3-2023,8/2025,N.A.,8/2025,890.33,,890.33,0.0,0.0,417.14,56.45,46.85,-9.6,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.469,6.793,0,29.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002202,MARREM KHULLEN TO JESSAMI SECTION IMPHAL- UKHRUL - JESSAMI PKG-6 (DESIGN CHAINAGE KM 95.700 TO KM 14,NHIDCL,3-2023,12/2026,N.A.,12/2026,554.66,,554.66,0.0,0.0,11.64,9.21,2.1,-7.11,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.021,6.32,0,45.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002203,IMPHAL-KOHIMA ROAD PKG-4B,NHIDCL,9-2020,6/2026,N.A.,6/2026,268.98,,268.98,0.0,0.0,10.88,11.5,4.04,-7.46,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.04,5.598,0,69.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002227,JESSAMI TO LAYNEN BRIDGE UKHRUL - JESSAMI PKG-7,NHIDCL,3-2023,6/2026,N.A.,6/2026,164.89,,164.89,0.0,0.0,0.0,103.0,0.0,-103.0,0.0,Low,On Schedule,,Other Infrastructure,Multi-State / Central,1.0,0.0,5.111,0,39.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001314,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER FROM (DESIGN KM 10.670 TO KM 37.550) BETWEEN SHIL,NHIDCL,11-2020,12/2023,N.A.,8/2026,525.68,,525.68,0.0,0.0,425.3928,120.0,80.92,-39.08,32.0,High,On Schedule / Undocumented,,Road Transport & Highways,Multi-State / Central,1.0,0.809,6.267,0,37.0,Land Acquisition & Right of Way,973,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24001335,IMPROVEMENT/WIDENING TO 2-LANE WITH PAVED SHOULDER / 4-LANING FROM (DESIGN KM 63.530 TO KM 71.520) B,NHIDCL,11-2020,12/2023,N.A.,11/2026,284.21,,284.21,0.0,0.0,100.93,20.5,35.51,15.01,35.0,High,On Schedule / Undocumented,,Road Transport & Highways,Multi-State / Central,1.0,0.355,5.653,1,37.0,Land Acquisition & Right of Way,1064,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002156,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM,NHIDCL,3-2023,9/2026,N.A.,9/2026,620.3,,620.3,0.0,0.0,210.58,24.5,33.95,9.45,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.339,6.432,0,42.0,On Schedule,0,Low
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002157,SHILLONG WESTERN BYPASS PACKAGE-2,NHIDCL,3-2023,9/2026,N.A.,9/2026,686.0,,686.0,0.0,0.0,281.9,21.5,41.09,19.59,0.0,Medium,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.411,6.532,1,42.0,On Schedule,0,Medium
MAR-2025,2025,MAR,FRMarch2025.pdf,N24002158,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU,NHIDCL,3-2023,9/2026,N.A.,9/2026,562.48,,562.48,0.0,0.0,292.43,21.5,51.99,30.49,0.0,High,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.52,6.334,1,42.0,On Schedule,0,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N22000100,"BHAIRABI SAIRONG, NL, NEFR",NFR,4-2008,3/2014,N.A.,7/2025,2393.47,5021.45,8213.72,5820.25,243.17,7906.29,94.6,330.33,235.73,136.0,High,Severe Weather / Natural Calamity,"Background BHAIRABI SAIRONG, NL, NEFR, MIZORAM (i) Intial Pink Book Cost :-Rs 619.34 Crs. (ii) ROR :- (-) 7.86 %. Ministry Of Statistics and Programme Implementation Infrastructure and Project Monitoring Division Release On 24-Aug-2020 (iii) Sanctioned as National Project vide RB L/No.- 95/W-1/NE/NF",Other Infrastructure,Multi-State / Central,3.432,3.303,7.781,1,71.0,Fund Constraint & Financial Stress,4134,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000857,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,4/2023,N.A.,3/2025,519.09,,785.65,266.56,51.35,667.78,95.75,128.64,32.89,23.0,High,General Execution Delay,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, LUNGLEI, MIZORAM Hill Cutting is in progress. 553 WIDENING AND UP-GRADATION TO 2-",Road Transport & Highways,Uttar Pradesh,1.514,1.286,6.254,1,72.0,Land Acquisition & Right of Way,699,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000858,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,7/2023,N.A.,7/2023,640.07,,1286.35,646.28,100.97,1192.26,98.9,186.27,87.37,0.0,High,On Schedule,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, AIZWAL, MIZORAM Project approved in april 2017 with cost of Rs 640.07 crore and it is to be completed by Sep’2019 Ministry Of Statistics and Programme Implementation Infrastructure and Pr",Road Transport & Highways,Uttar Pradesh,2.01,1.863,6.463,1,75.0,On Schedule,0,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000859,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,6/2023,N.A.,3/2024,642.96,,988.23,345.27,53.7,721.12,99.55,112.16,12.61,9.0,High,General Execution Delay,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, SERCHHIP, MIZORAM Mobilisation of Equipement, setting up of camp, procurement of applicable licence etc is in progress. 0.4 Km out of 53.26 Km Hill cutting completed. 558 WIDENING AND UP-",Road Transport & Highways,Uttar Pradesh,1.537,1.122,6.468,0,74.0,Administrative & Inter-Agency Coordination,274,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000861,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,4/2023,N.A.,3/2025,473.18,,688.25,215.07,45.45,539.93,92.01,114.11,22.1,23.0,High,General Execution Delay,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, LUNGLEI, MIZORAM 8.5 Km out of 34.58 Km Hill cutting completed 557 WIDENING AND UP-GRADATION TO 2-",Road Transport & Highways,Uttar Pradesh,1.455,1.141,6.162,1,72.0,Land Acquisition & Right of Way,699,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000862,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,4/2023,N.A.,3/2025,537.82,,789.05,251.23,46.71,768.85,95.4,142.96,47.56,23.0,High,General Execution Delay,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, MIZORAM 5.3 Km of 35.65 Km hill cutting completed. Ministry Of Statistics and Programme Implementation Infrastructure and Project Monitoring Division Release On 24-Aug",Road Transport & Highways,Uttar Pradesh,1.467,1.43,6.289,1,72.0,Land Acquisition & Right of Way,699,High
MAR-2025,2025,MAR,FRMarch2025.pdf,N24000863,WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO,NHIDCL,4-2017,6/2023,N.A.,3/2025,518.53,,906.76,388.23,74.87,847.17,97.01,163.38,66.37,21.0,High,General Execution Delay,"Background WIDENING AND UP-GRADATION TO 2-LANE WITH PAVED SHOULDER CONFIGURATION AND GEOMETRIC IMPROVEMENTS FRO, LUNGLEI, MIZORAM 3.05 Km out of 40.47 Km Hill cutting completed. Ministry Of Statistics and Programme Implementation Infrastructure and Project Monitoring Division Release On 24-Aug-2020 ",Road Transport & Highways,Uttar Pradesh,1.749,1.634,6.253,1,74.0,Land Acquisition & Right of Way,638,High
